,biogas,capacity_ren,capacity_offshore,capacity_pv,demand,insulation,learning,elasticity,gasprices,woodprices,cop,ban
S4224,Biogas-,reference,reference,PV-,Reindustrialisation,reference,Learning-,reference,reference,reference,reference,reference
S1640,reference,reference,Offshore-,PV-,Reindustrialisation,reference,Learning-,Elasticity+,reference,reference,reference,reference
S980,reference,reference,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,reference,reference
S5755,Biogas-,Ren-,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,COP+,reference
S6574,Biogas-,Ren-,Offshore-,PV-,reference,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference,reference
S6360,Biogas-,Ren-,Offshore-,reference,Reindustrialisation,reference,Learning+,reference,reference,reference,reference,reference
S2673,reference,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity+,reference,reference,COP+,reference
S6447,Biogas-,Ren-,Offshore-,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+,reference
S2749,reference,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,COP+,reference
S3641,Biogas-,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity-,reference,reference,COP+,reference
S2273,reference,Ren-,reference,PV-,reference,NoPolicy,Learning+,Elasticity-,reference,reference,COP+,reference
S4077,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,reference,COP+,reference
S6185,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,reference,reference,COP+,reference
S3043,reference,Ren-,Offshore-,PV-,reference,reference,reference,Elasticity-,reference,PriceWood+,COP+,reference
S2457,reference,Ren-,reference,PV-,Reindustrialisation,reference,reference,Elasticity+,reference,reference,COP+,reference
S3768,Biogas-,reference,reference,reference,Reindustrialisation,reference,Learning+,reference,reference,reference,reference,reference
S496,reference,reference,reference,PV-,reference,reference,Learning-,Elasticity-,reference,reference,reference,reference
S5016,Biogas-,reference,Offshore-,PV-,Sufficiency,NoPolicy,Learning-,reference,reference,reference,reference,reference
S4489,Biogas-,reference,Offshore-,reference,Sufficiency,reference,Learning+,reference,reference,reference,COP+,reference
S6582,Biogas-,Ren-,Offshore-,PV-,reference,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference,reference
S6450,Biogas-,Ren-,Offshore-,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,reference,reference
S1938,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity-,reference,PriceWood+,reference,reference
S3050,reference,Ren-,Offshore-,PV-,reference,reference,Learning+,reference,reference,PriceWood+,reference,reference
S3578,Biogas-,reference,reference,reference,reference,NoPolicy,Learning-,reference,reference,PriceWood+,reference,reference
S1868,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,reference,reference
S4503,Biogas-,reference,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+,reference
S1439,reference,reference,Offshore-,PV-,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+,reference
S1740,reference,Ren-,reference,reference,reference,reference,reference,Elasticity+,PriceGas+,reference,reference,reference
S5757,Biogas-,Ren-,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+,reference
S2054,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference,reference
S5764,Biogas-,Ren-,reference,PV-,Sufficiency,reference,reference,reference,PriceGas+,reference,reference,reference
S4802,Biogas-,reference,Offshore-,PV-,reference,reference,Learning-,reference,reference,PriceWood+,reference,reference
S1688,reference,reference,Offshore-,PV-,Reindustrialisation,NoPolicy,Learning+,Elasticity+,reference,reference,reference,reference
S5990,Biogas-,Ren-,reference,PV-,Reindustrialisation,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference,reference
S6771,Biogas-,Ren-,Offshore-,PV-,Reindustrialisation,reference,reference,reference,reference,PriceWood+,COP+,reference
S5936,Biogas-,Ren-,reference,PV-,Reindustrialisation,reference,Learning+,Elasticity+,reference,reference,reference,reference
S740,reference,reference,reference,PV-,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,reference,reference,reference
S273,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,reference,COP+,reference
S40,reference,reference,reference,reference,reference,reference,Learning+,Elasticity-,reference,reference,reference,reference
S331,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,reference,PriceWood+,COP+,reference
S718,reference,reference,reference,PV-,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,reference,reference
S6147,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,reference,PriceWood+,COP+,reference
S152,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,reference,reference,reference
S6032,Biogas-,Ren-,reference,PV-,Reindustrialisation,NoPolicy,Learning-,Elasticity+,reference,reference,reference,reference
S2428,reference,Ren-,reference,PV-,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,reference,reference,reference
S5970,Biogas-,Ren-,reference,PV-,Reindustrialisation,reference,Learning-,Elasticity-,reference,PriceWood+,reference,reference
S173,reference,reference,reference,reference,Sufficiency,reference,Learning+,reference,PriceGas+,reference,COP+,reference
S3885,Biogas-,reference,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+,reference
S2231,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+,reference
S1187,reference,reference,Offshore-,reference,Reindustrialisation,reference,Learning+,Elasticity+,reference,PriceWood+,COP+,reference
S109,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+,reference
S2772,reference,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,reference,reference
S349,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,PriceGas+,reference,COP+,reference
S2694,reference,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference,reference
S6096,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,reference,reference,reference,reference,reference
S4886-ban,Biogas-,reference,Offshore-,PV-,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,reference,Ban
S69-ban,reference,reference,reference,reference,reference,reference,Learning-,Elasticity-,PriceGas+,reference,COP+,Ban
S761-ban,reference,reference,reference,PV-,Reindustrialisation,reference,Learning+,Elasticity-,reference,reference,COP+,Ban
S592-ban,reference,reference,reference,PV-,Sufficiency,reference,reference,Elasticity-,reference,reference,reference,Ban
S3455-ban,reference,Ren-,Offshore-,PV-,Reindustrialisation,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+,Ban
S5881-ban,Biogas-,Ren-,reference,PV-,Sufficiency,NoPolicy,Learning-,reference,reference,reference,COP+,Ban
S419-ban,reference,reference,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,COP+,Ban
S5869-ban,Biogas-,Ren-,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+,Ban
S1514-ban,reference,reference,Offshore-,PV-,Sufficiency,NoPolicy,reference,reference,reference,PriceWood+,reference,Ban
S2020-ban,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,reference,PriceGas+,reference,reference,Ban
S981-ban,reference,reference,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+,Ban
S3272-ban,reference,Ren-,Offshore-,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,reference,reference,Ban
S5272-ban,Biogas-,Ren-,reference,reference,reference,NoPolicy,reference,Elasticity-,reference,reference,reference,Ban
S4560-ban,Biogas-,reference,Offshore-,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,reference,Ban
S4784-ban,Biogas-,reference,Offshore-,PV-,reference,reference,Learning+,Elasticity+,reference,reference,reference,Ban
S5148-ban,Biogas-,reference,Offshore-,PV-,Reindustrialisation,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,reference,Ban
S3063-ban,reference,Ren-,Offshore-,PV-,reference,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+,Ban
S6506-ban,Biogas-,Ren-,Offshore-,PV-,reference,reference,Learning+,reference,reference,PriceWood+,reference,Ban
S2709-ban,reference,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+,Ban
S1100-ban,reference,reference,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference,Ban
S5269-ban,Biogas-,Ren-,reference,reference,reference,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+,Ban
S6374-ban,Biogas-,Ren-,Offshore-,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference,Ban
S2752-ban,reference,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity-,reference,reference,reference,Ban
S5341-ban,Biogas-,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,COP+,Ban
S2490-ban,reference,Ren-,reference,PV-,Reindustrialisation,reference,Learning+,Elasticity-,reference,PriceWood+,reference,Ban
S709-ban,reference,reference,reference,PV-,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,COP+,Ban
S2945-ban,reference,Ren-,Offshore-,reference,Reindustrialisation,reference,Learning-,Elasticity-,reference,reference,COP+,Ban
S3723-ban,Biogas-,reference,reference,reference,Sufficiency,NoPolicy,Learning-,reference,reference,PriceWood+,COP+,Ban
S4204-ban,Biogas-,reference,reference,PV-,Reindustrialisation,reference,Learning+,reference,PriceGas+,reference,reference,Ban
S6744-ban,Biogas-,Ren-,Offshore-,PV-,Sufficiency,NoPolicy,Learning-,reference,reference,reference,reference,Ban
S6169-ban,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,reference,reference,reference,COP+,Ban
S1969-ban,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,COP+,Ban
S2341-ban,reference,Ren-,reference,PV-,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,COP+,Ban
S3906-ban,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity-,reference,PriceWood+,reference,Ban
S5763-ban,Biogas-,Ren-,reference,PV-,Sufficiency,reference,reference,reference,reference,PriceWood+,COP+,Ban
S3764-ban,Biogas-,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,reference,reference,Ban
S4461-ban,Biogas-,reference,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+,Ban
S6824-ban,Biogas-,Ren-,Offshore-,PV-,Reindustrialisation,reference,Learning-,Elasticity+,reference,reference,reference,Ban
S4466-ban,Biogas-,reference,Offshore-,reference,Sufficiency,reference,reference,reference,reference,PriceWood+,reference,Ban
S1968-ban,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,reference,Ban
S1875-ban,reference,Ren-,reference,reference,Sufficiency,reference,reference,reference,reference,PriceWood+,COP+,Ban
S5336-ban,Biogas-,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,reference,reference,Ban
S6621-ban,Biogas-,Ren-,Offshore-,PV-,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+,Ban
S6039-ban,Biogas-,Ren-,reference,PV-,Reindustrialisation,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+,Ban
S36-ban,reference,reference,reference,reference,reference,reference,Learning+,Elasticity+,PriceGas+,reference,reference,Ban
S4224-ban,Biogas-,reference,reference,PV-,Reindustrialisation,reference,Learning-,reference,reference,reference,reference,Ban
S1640-ban,reference,reference,Offshore-,PV-,Reindustrialisation,reference,Learning-,Elasticity+,reference,reference,reference,Ban
S980-ban,reference,reference,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,reference,Ban
S5755-ban,Biogas-,Ren-,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,COP+,Ban
S6574-ban,Biogas-,Ren-,Offshore-,PV-,reference,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference,Ban
S6360-ban,Biogas-,Ren-,Offshore-,reference,Reindustrialisation,reference,Learning+,reference,reference,reference,reference,Ban
S2673-ban,reference,Ren-,Offshore-,reference,reference,NoPolicy,reference,Elasticity+,reference,reference,COP+,Ban
S6447-ban,Biogas-,Ren-,Offshore-,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+,Ban
S2749-ban,reference,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,COP+,Ban
S3641-ban,Biogas-,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity-,reference,reference,COP+,Ban
S2273-ban,reference,Ren-,reference,PV-,reference,NoPolicy,Learning+,Elasticity-,reference,reference,COP+,Ban
S4077-ban,Biogas-,reference,reference,PV-,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,reference,COP+,Ban
S6185-ban,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,reference,reference,COP+,Ban
S3043-ban,reference,Ren-,Offshore-,PV-,reference,reference,reference,Elasticity-,reference,PriceWood+,COP+,Ban
S2457-ban,reference,Ren-,reference,PV-,Reindustrialisation,reference,reference,Elasticity+,reference,reference,COP+,Ban
S3768-ban,Biogas-,reference,reference,reference,Reindustrialisation,reference,Learning+,reference,reference,reference,reference,Ban
S496-ban,reference,reference,reference,PV-,reference,reference,Learning-,Elasticity-,reference,reference,reference,Ban
S5016-ban,Biogas-,reference,Offshore-,PV-,Sufficiency,NoPolicy,Learning-,reference,reference,reference,reference,Ban
S4489-ban,Biogas-,reference,Offshore-,reference,Sufficiency,reference,Learning+,reference,reference,reference,COP+,Ban
S6582-ban,Biogas-,Ren-,Offshore-,PV-,reference,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference,Ban
S6450-ban,Biogas-,Ren-,Offshore-,reference,Reindustrialisation,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,reference,Ban
S1938-ban,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity-,reference,PriceWood+,reference,Ban
S3050-ban,reference,Ren-,Offshore-,PV-,reference,reference,Learning+,reference,reference,PriceWood+,reference,Ban
S3578-ban,Biogas-,reference,reference,reference,reference,NoPolicy,Learning-,reference,reference,PriceWood+,reference,Ban
S1868-ban,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,reference,Ban
S4503-ban,Biogas-,reference,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+,Ban
S1439-ban,reference,reference,Offshore-,PV-,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+,Ban
S1740-ban,reference,Ren-,reference,reference,reference,reference,reference,Elasticity+,PriceGas+,reference,reference,Ban
S5757-ban,Biogas-,Ren-,reference,PV-,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+,Ban
S2054-ban,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference,Ban
S5764-ban,Biogas-,Ren-,reference,PV-,Sufficiency,reference,reference,reference,PriceGas+,reference,reference,Ban
S4802-ban,Biogas-,reference,Offshore-,PV-,reference,reference,Learning-,reference,reference,PriceWood+,reference,Ban
S1688-ban,reference,reference,Offshore-,PV-,Reindustrialisation,NoPolicy,Learning+,Elasticity+,reference,reference,reference,Ban
S5990-ban,Biogas-,Ren-,reference,PV-,Reindustrialisation,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference,Ban
S6771-ban,Biogas-,Ren-,Offshore-,PV-,Reindustrialisation,reference,reference,reference,reference,PriceWood+,COP+,Ban
S5936-ban,Biogas-,Ren-,reference,PV-,Reindustrialisation,reference,Learning+,Elasticity+,reference,reference,reference,Ban
S740-ban,reference,reference,reference,PV-,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,reference,reference,Ban
S273-ban,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,reference,COP+,Ban
S40-ban,reference,reference,reference,reference,reference,reference,Learning+,Elasticity-,reference,reference,reference,Ban
S331-ban,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,reference,PriceWood+,COP+,Ban
S718-ban,reference,reference,reference,PV-,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,reference,Ban
S6147-ban,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,reference,PriceWood+,COP+,Ban
S152-ban,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,reference,reference,Ban
S6032-ban,Biogas-,Ren-,reference,PV-,Reindustrialisation,NoPolicy,Learning-,Elasticity+,reference,reference,reference,Ban
S2428-ban,reference,Ren-,reference,PV-,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,reference,reference,Ban
S5970-ban,Biogas-,Ren-,reference,PV-,Reindustrialisation,reference,Learning-,Elasticity-,reference,PriceWood+,reference,Ban
S173-ban,reference,reference,reference,reference,Sufficiency,reference,Learning+,reference,PriceGas+,reference,COP+,Ban
S3885-ban,Biogas-,reference,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+,Ban
S2231-ban,reference,Ren-,reference,PV-,reference,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+,Ban
S1187-ban,reference,reference,Offshore-,reference,Reindustrialisation,reference,Learning+,Elasticity+,reference,PriceWood+,COP+,Ban
S109-ban,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+,Ban
S2772-ban,reference,Ren-,Offshore-,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,reference,Ban
S349-ban,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,PriceGas+,reference,COP+,Ban
S2694-ban,reference,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference,Ban
S6096-ban,Biogas-,Ren-,Offshore-,reference,reference,reference,Learning-,reference,reference,reference,reference,Ban
