,biogas,capacity_ren,capacity_offshore,capacity_pv,demand,insulation,learning,elasticity,gasprices,woodprices,cop
S43,reference,reference,reference,reference,reference,reference,Learning+,Elasticity-,reference,PriceWood+,COP+
S44,reference,reference,reference,reference,reference,reference,Learning+,Elasticity-,PriceGas+,reference,reference
S45,reference,reference,reference,reference,reference,reference,Learning+,Elasticity-,PriceGas+,reference,COP+
S46,reference,reference,reference,reference,reference,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S47,reference,reference,reference,reference,reference,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S48,reference,reference,reference,reference,reference,reference,Learning-,reference,reference,reference,reference
S49,reference,reference,reference,reference,reference,reference,Learning-,reference,reference,reference,COP+
S50,reference,reference,reference,reference,reference,reference,Learning-,reference,reference,PriceWood+,reference
S51,reference,reference,reference,reference,reference,reference,Learning-,reference,reference,PriceWood+,COP+
S52,reference,reference,reference,reference,reference,reference,Learning-,reference,PriceGas+,reference,reference
S53,reference,reference,reference,reference,reference,reference,Learning-,reference,PriceGas+,reference,COP+
S54,reference,reference,reference,reference,reference,reference,Learning-,reference,PriceGas+,PriceWood+,reference
S55,reference,reference,reference,reference,reference,reference,Learning-,reference,PriceGas+,PriceWood+,COP+
S56,reference,reference,reference,reference,reference,reference,Learning-,Elasticity+,reference,reference,reference
S57,reference,reference,reference,reference,reference,reference,Learning-,Elasticity+,reference,reference,COP+
S58,reference,reference,reference,reference,reference,reference,Learning-,Elasticity+,reference,PriceWood+,reference
S59,reference,reference,reference,reference,reference,reference,Learning-,Elasticity+,reference,PriceWood+,COP+
S60,reference,reference,reference,reference,reference,reference,Learning-,Elasticity+,PriceGas+,reference,reference
S61,reference,reference,reference,reference,reference,reference,Learning-,Elasticity+,PriceGas+,reference,COP+
S62,reference,reference,reference,reference,reference,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S63,reference,reference,reference,reference,reference,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S64,reference,reference,reference,reference,reference,reference,Learning-,Elasticity-,reference,reference,reference
S65,reference,reference,reference,reference,reference,reference,Learning-,Elasticity-,reference,reference,COP+
S66,reference,reference,reference,reference,reference,reference,Learning-,Elasticity-,reference,PriceWood+,reference
S67,reference,reference,reference,reference,reference,reference,Learning-,Elasticity-,reference,PriceWood+,COP+
S68,reference,reference,reference,reference,reference,reference,Learning-,Elasticity-,PriceGas+,reference,reference
S69,reference,reference,reference,reference,reference,reference,Learning-,Elasticity-,PriceGas+,reference,COP+
S70,reference,reference,reference,reference,reference,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S71,reference,reference,reference,reference,reference,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S72,reference,reference,reference,reference,reference,NoPolicy,reference,reference,reference,reference,reference
S73,reference,reference,reference,reference,reference,NoPolicy,reference,reference,reference,reference,COP+
S74,reference,reference,reference,reference,reference,NoPolicy,reference,reference,reference,PriceWood+,reference
S75,reference,reference,reference,reference,reference,NoPolicy,reference,reference,reference,PriceWood+,COP+
S76,reference,reference,reference,reference,reference,NoPolicy,reference,reference,PriceGas+,reference,reference
S77,reference,reference,reference,reference,reference,NoPolicy,reference,reference,PriceGas+,reference,COP+
S78,reference,reference,reference,reference,reference,NoPolicy,reference,reference,PriceGas+,PriceWood+,reference
S79,reference,reference,reference,reference,reference,NoPolicy,reference,reference,PriceGas+,PriceWood+,COP+
S80,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity+,reference,reference,reference
S81,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity+,reference,reference,COP+
S82,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity+,reference,PriceWood+,reference
S83,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity+,reference,PriceWood+,COP+
S84,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity+,PriceGas+,reference,reference
S85,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+
S86,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference
S87,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S88,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity-,reference,reference,reference
S89,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity-,reference,reference,COP+
S90,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity-,reference,PriceWood+,reference
S91,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity-,reference,PriceWood+,COP+
S92,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference
S93,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity-,PriceGas+,reference,COP+
S94,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference
S95,reference,reference,reference,reference,reference,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S96,reference,reference,reference,reference,reference,NoPolicy,Learning+,reference,reference,reference,reference
S97,reference,reference,reference,reference,reference,NoPolicy,Learning+,reference,reference,reference,COP+
S98,reference,reference,reference,reference,reference,NoPolicy,Learning+,reference,reference,PriceWood+,reference
S99,reference,reference,reference,reference,reference,NoPolicy,Learning+,reference,reference,PriceWood+,COP+
S100,reference,reference,reference,reference,reference,NoPolicy,Learning+,reference,PriceGas+,reference,reference
S101,reference,reference,reference,reference,reference,NoPolicy,Learning+,reference,PriceGas+,reference,COP+
S102,reference,reference,reference,reference,reference,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference
S103,reference,reference,reference,reference,reference,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,COP+
S104,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity+,reference,reference,reference
S105,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity+,reference,reference,COP+
S106,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,reference
S107,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,COP+
S108,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,reference
S109,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+
S110,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S111,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S112,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity-,reference,reference,reference
S113,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity-,reference,reference,COP+
S114,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,reference
S115,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,COP+
S116,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,reference
S117,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+
S118,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S119,reference,reference,reference,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S120,reference,reference,reference,reference,reference,NoPolicy,Learning-,reference,reference,reference,reference
S121,reference,reference,reference,reference,reference,NoPolicy,Learning-,reference,reference,reference,COP+
S122,reference,reference,reference,reference,reference,NoPolicy,Learning-,reference,reference,PriceWood+,reference
S123,reference,reference,reference,reference,reference,NoPolicy,Learning-,reference,reference,PriceWood+,COP+
S124,reference,reference,reference,reference,reference,NoPolicy,Learning-,reference,PriceGas+,reference,reference
S125,reference,reference,reference,reference,reference,NoPolicy,Learning-,reference,PriceGas+,reference,COP+
S126,reference,reference,reference,reference,reference,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,reference
S127,reference,reference,reference,reference,reference,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,COP+
S128,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity+,reference,reference,reference
S129,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity+,reference,reference,COP+
S130,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,reference
S131,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,COP+
S132,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,reference
S133,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,COP+
S134,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S135,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S136,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity-,reference,reference,reference
S137,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity-,reference,reference,COP+
S138,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,reference
S139,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,COP+
S140,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,reference
S141,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+
S142,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S143,reference,reference,reference,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S144,reference,reference,reference,reference,Sufficiency,reference,reference,reference,reference,reference,reference
S145,reference,reference,reference,reference,Sufficiency,reference,reference,reference,reference,reference,COP+
S146,reference,reference,reference,reference,Sufficiency,reference,reference,reference,reference,PriceWood+,reference
S147,reference,reference,reference,reference,Sufficiency,reference,reference,reference,reference,PriceWood+,COP+
S148,reference,reference,reference,reference,Sufficiency,reference,reference,reference,PriceGas+,reference,reference
S149,reference,reference,reference,reference,Sufficiency,reference,reference,reference,PriceGas+,reference,COP+
S150,reference,reference,reference,reference,Sufficiency,reference,reference,reference,PriceGas+,PriceWood+,reference
S151,reference,reference,reference,reference,Sufficiency,reference,reference,reference,PriceGas+,PriceWood+,COP+
S152,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,reference,reference
S153,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,reference,COP+
S154,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,PriceWood+,reference
S155,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,PriceWood+,COP+
S156,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,reference
S157,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,COP+
S158,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,PriceWood+,reference
S159,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S160,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity-,reference,reference,reference
S161,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity-,reference,reference,COP+
S162,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity-,reference,PriceWood+,reference
S163,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity-,reference,PriceWood+,COP+
S164,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,reference,reference
S165,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,reference,COP+
S166,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,PriceWood+,reference
S167,reference,reference,reference,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S168,reference,reference,reference,reference,Sufficiency,reference,Learning+,reference,reference,reference,reference
S169,reference,reference,reference,reference,Sufficiency,reference,Learning+,reference,reference,reference,COP+
S170,reference,reference,reference,reference,Sufficiency,reference,Learning+,reference,reference,PriceWood+,reference
S171,reference,reference,reference,reference,Sufficiency,reference,Learning+,reference,reference,PriceWood+,COP+
S172,reference,reference,reference,reference,Sufficiency,reference,Learning+,reference,PriceGas+,reference,reference
S173,reference,reference,reference,reference,Sufficiency,reference,Learning+,reference,PriceGas+,reference,COP+
S174,reference,reference,reference,reference,Sufficiency,reference,Learning+,reference,PriceGas+,PriceWood+,reference
S175,reference,reference,reference,reference,Sufficiency,reference,Learning+,reference,PriceGas+,PriceWood+,COP+
S176,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity+,reference,reference,reference
S177,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity+,reference,reference,COP+
S178,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity+,reference,PriceWood+,reference
S179,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity+,reference,PriceWood+,COP+
S180,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,reference
S181,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,COP+
S182,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S183,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S184,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity-,reference,reference,reference
S185,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity-,reference,reference,COP+
S186,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity-,reference,PriceWood+,reference
S187,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity-,reference,PriceWood+,COP+
S188,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,reference,reference
S189,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,reference,COP+
S190,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S191,reference,reference,reference,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S192,reference,reference,reference,reference,Sufficiency,reference,Learning-,reference,reference,reference,reference
S193,reference,reference,reference,reference,Sufficiency,reference,Learning-,reference,reference,reference,COP+
S194,reference,reference,reference,reference,Sufficiency,reference,Learning-,reference,reference,PriceWood+,reference
S195,reference,reference,reference,reference,Sufficiency,reference,Learning-,reference,reference,PriceWood+,COP+
S196,reference,reference,reference,reference,Sufficiency,reference,Learning-,reference,PriceGas+,reference,reference
S197,reference,reference,reference,reference,Sufficiency,reference,Learning-,reference,PriceGas+,reference,COP+
S198,reference,reference,reference,reference,Sufficiency,reference,Learning-,reference,PriceGas+,PriceWood+,reference
S199,reference,reference,reference,reference,Sufficiency,reference,Learning-,reference,PriceGas+,PriceWood+,COP+
S200,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity+,reference,reference,reference
S201,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity+,reference,reference,COP+
S202,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity+,reference,PriceWood+,reference
S203,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity+,reference,PriceWood+,COP+
S204,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,reference,reference
S205,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,reference,COP+
S206,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S207,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S208,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity-,reference,reference,reference
S209,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity-,reference,reference,COP+
S210,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity-,reference,PriceWood+,reference
S211,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity-,reference,PriceWood+,COP+
S212,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,reference,reference
S213,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,reference,COP+
S214,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S215,reference,reference,reference,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S216,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,reference,reference,reference,reference
S217,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,reference,reference,reference,COP+
S218,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,reference,reference,PriceWood+,reference
S219,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,reference,reference,PriceWood+,COP+
S220,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,reference,reference
S221,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,reference,COP+
S222,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,PriceWood+,reference
S223,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,PriceWood+,COP+
S224,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,reference,reference
S225,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,reference,COP+
S226,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,PriceWood+,reference
S227,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,PriceWood+,COP+
S228,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,reference,reference
S229,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+
S230,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference
S231,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S232,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,reference,reference
S233,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,reference,COP+
S234,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,PriceWood+,reference
S235,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,PriceWood+,COP+
S236,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference
S237,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,reference,COP+
S238,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference
S239,reference,reference,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S240,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,reference
S241,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,COP+
S242,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,PriceWood+,reference
S243,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,PriceWood+,COP+
S244,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,reference,reference
S245,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,reference,COP+
S246,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference
S247,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,COP+
S248,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,reference,reference
S249,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,reference,COP+
S250,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,reference
S251,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,COP+
S252,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,reference
S253,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+
S254,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S255,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S256,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,reference,reference
S257,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,reference,COP+
S258,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,reference
S259,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,COP+
S260,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,reference
S261,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+
S262,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S263,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S264,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,reference,reference,reference,reference
S265,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,reference,reference,reference,COP+
S266,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,reference,reference,PriceWood+,reference
S267,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,reference,reference,PriceWood+,COP+
S268,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,reference,reference
S269,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,reference,COP+
S270,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,reference
S271,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,COP+
S272,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,reference,reference
S273,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,reference,COP+
S274,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,reference
S275,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,COP+
S276,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,reference
S277,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,COP+
S278,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S279,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S280,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,reference,reference
S281,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,reference,COP+
S282,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,reference
S283,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,COP+
S284,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,reference
S285,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+
